"participant_id","autonomy","relatedness","competence","positive_affect"
10350,"Most of the time","Most of the time","A lot",4
10351,"Some of the time","Most of the time","Some",4
10352,"Rarely","Most of the time","A little",3.833333333333
10353,"Most of the time","Most of the time","Some",4.5
10354,"Most of the time","Most of the time","Some",4.166666666667
10356,"Most of the time","Most of the time","Some",3
10358,"Most of the time","Rarely","A lot",4
10360,"Most of the time","Most of the time","Some",4
10361,"Most of the time","Some of the time","Some",2.833333333333
10364,"All of the time","Most of the time","A lot",4
10366,"All of the time","Most of the time","A little",4
10374,"Most of the time","Most of the time","Some",3.333333333333
10377,"Some of the time","Most of the time","Some",4
10382,"Some of the time","Most of the time","Some",1.833333333333
10386,"Most of the time","Most of the time","A lot",3.333333333333
10387,"Most of the time","Most of the time","Some",2.666666666667
10389,"Most of the time","Most of the time","Some",4
10393,"Most of the time","Most of the time","Some",3.333333333333
10395,"Most of the time","Some of the time","Some",3.833333333333
10398,"Rarely","Rarely","Some",2.5
10400,"Some of the time","Most of the time","A lot",3
10401,"Some of the time","All of the time","Some",3.333333333333
10402,"Some of the time","Most of the time","Some",1.833333333333
10403,"Most of the time","Rarely","A lot",4.333333333333
10407,"Most of the time","Most of the time","A lot",4
10408,"All of the time","Rarely","A lot",4.5
10416,"Some of the time","Some of the time","Some",3.833333333333
10417,"Never","Some of the time","A little",2.833333333333
10418,"Most of the time","Most of the time","Some",3.333333333333
10427,"Some of the time","All of the time","Some",3.166666666667
10431,"All of the time","Some of the time","Some",3.666666666667
10441,"Some of the time","Some of the time","Some",4
10443,"Most of the time","Most of the time","Some",3.833333333333
10444,"Most of the time","Most of the time","Some",2.833333333333
10446,"Most of the time","Most of the time","A little",3.833333333333
10448,"Most of the time","All of the time","A lot",4
10450,"Some of the time","All of the time","A lot",4.5
10453,"All of the time","All of the time","Some",3.166666666667
10460,"All of the time","Most of the time","Some",3
10462,"Some of the time","Most of the time","Some",3.333333333333
10463,"Most of the time","Most of the time","Some",3.333333333333
10464,"Most of the time","Most of the time","Some",2.5
10465,"Most of the time","Most of the time","Some",3.833333333333
10471,"Most of the time","Some of the time","A lot",2
10479,"All of the time","Some of the time","Some",4.333333333333
10480,"All of the time","Some of the time","A little",2.833333333333
10485,"Some of the time","All of the time","A little",2.166666666667
10490,"Most of the time","All of the time","Some",3.5
10493,"Most of the time","Most of the time","Some",3.666666666667
10500,"Rarely","Some of the time","Some",2
10503,"Most of the time","Most of the time","A little",3
10506,"Most of the time","Most of the time","Some",2.166666666667
10507,"Most of the time","Some of the time","A lot",3.666666666667
10513,"All of the time","Rarely","A lot",4
10520,"Some of the time","Most of the time","Some",3.166666666667
10525,"Most of the time","Rarely","A little",2.5
10528,"Most of the time","Rarely","Some",4
10531,"Most of the time","All of the time","Some",3.666666666667
10537,"Some of the time","All of the time","Some",3.166666666667
10538,"Some of the time","Some of the time","Some",4
10543,"Most of the time","Most of the time","A lot",4.5
10546,"Most of the time","Most of the time","A lot",3.833333333333
10548,"Rarely","Most of the time","A lot",4.166666666667
10553,"Most of the time","Some of the time","Some",3.5
10556,"Most of the time","Most of the time","A lot",3.5
10558,"All of the time","Most of the time","A lot",3.833333333333
10563,"Most of the time","Some of the time","A little",3.333333333333
10566,"Most of the time","Some of the time","A lot",3.5
10568,"Some of the time","Rarely","A lot",3.666666666667
10570,"All of the time","Most of the time","Some",3.5
10576,"Some of the time","Most of the time","A little",1.833333333333
10578,"Most of the time","Some of the time","A lot",3.833333333333
10579,"All of the time","Most of the time","A little",1.833333333333
10582,"Most of the time","All of the time","Some",4
10587,"Some of the time","All of the time","Some",1.833333333333
10589,"Most of the time","All of the time","A lot",3.666666666667
10590,"Most of the time","Some of the time","A lot",4
10592,"Most of the time","All of the time","Some",3.666666666667
10596,"Some of the time","Most of the time","Some",2.833333333333
10598,"Most of the time","Rarely","Some",2.5
10604,"Some of the time","Most of the time","A lot",3
10608,"Most of the time","Some of the time","A lot",3.5
10611,"Most of the time","All of the time","A lot",4
10613,"All of the time","Some of the time","A lot",4
10615,"Most of the time","All of the time","A little",3.5
10620,"Most of the time","Most of the time","Some",4
10624,"All of the time","Most of the time","Some",3.333333333333
10625,"Most of the time","All of the time","Some",4
10629,"Some of the time","Some of the time","A lot",3.5
10630,"Most of the time","Some of the time","Some",4.333333333333
10636,"Some of the time","Most of the time","Some",3.333333333333
10637,"Most of the time","Most of the time","Some",4
10642,"All of the time","Some of the time","Some",3.666666666667
10645,"All of the time","All of the time","A lot",2.833333333333
10648,"Some of the time","Most of the time","A lot",4
10649,"Some of the time","All of the time","A little",3.333333333333
10658,"Some of the time","All of the time","Some",3
10664,"Most of the time","All of the time","A lot",3.833333333333
10666,"Some of the time","Some of the time","A lot",3.833333333333
10674,"Some of the time","Most of the time","Some",3.166666666667
10678,"All of the time","Some of the time","Some",4.333333333333
10680,"Most of the time","Most of the time","A lot",4
10684,"Some of the time","Most of the time","Some",2.333333333333
10686,"All of the time","Most of the time","Some",4
10696,"Some of the time","Some of the time","A little",1.5
10717,"Most of the time","All of the time","A lot",3.5
10722,"Rarely","Most of the time","A lot",3.5
10725,"Some of the time","Some of the time","A lot",2.333333333333
10730,"Some of the time","Most of the time","A lot",4.166666666667
10734,"Some of the time","Some of the time","Some",3.833333333333
10740,"Most of the time","Rarely","A little",3.666666666667
10742,"Most of the time","Most of the time","A lot",4
10743,"Most of the time","Some of the time","A lot",3.833333333333
10744,"Rarely","Some of the time","A lot",2.833333333333
10745,"Some of the time","Some of the time","Some",2.666666666667
10749,"Rarely","Rarely","A little",3
10752,"Rarely","Most of the time","A lot",3.833333333333
10754,"Rarely","Most of the time","A lot",3.333333333333
10759,"Most of the time","All of the time","Some",3.833333333333
10761,"Some of the time","Some of the time","Some",2.5
10765,"Most of the time","Most of the time","Some",4
10768,"Most of the time","Most of the time","Some",3.666666666667
10770,"Some of the time","Most of the time","A lot",3.333333333333
10774,"Most of the time","Most of the time","Some",3.833333333333
10777,"Most of the time","Some of the time","A lot",4
10785,"Rarely","Most of the time","A lot",3.666666666667
10787,"Most of the time","Most of the time","A lot",4
10788,"Most of the time","Most of the time","Some",1.5
10791,"All of the time","Most of the time","Some",3
10793,"All of the time","Most of the time","A little",2
10795,"Rarely","Some of the time","Some",2.833333333333
10798,"Most of the time","Some of the time","A little",2.833333333333
10804,"Most of the time","Most of the time","A lot",3.833333333333
10813,"Most of the time","All of the time","Some",3.5
10816,"All of the time","Rarely","Some",3.833333333333
10819,"Most of the time","Rarely","Some",3.833333333333
10828,"Some of the time","Rarely","A lot",3.6
10829,"All of the time","Most of the time","Some",3.333333333333
10852,"Most of the time","Most of the time","A lot",4
10855,"Some of the time","Most of the time","Some",2.833333333333
10856,"Most of the time","All of the time","Some",3
10858,"All of the time","All of the time","A lot",3.833333333333
10868,"Most of the time","Some of the time","Some",4
10874,"Most of the time","Most of the time","Some",3.333333333333
10877,"Most of the time","Most of the time","A lot",3.5
10879,"Some of the time","Rarely","A lot",3.666666666667
10882,"Some of the time","Some of the time","Some",3
10884,"Most of the time","Most of the time","Some",3.833333333333
10888,"Rarely","Most of the time","Some",3.833333333333
10897,"Some of the time","Most of the time","Some",4
10898,"Most of the time","Some of the time","A little",3.666666666667
10903,"Most of the time","Some of the time","Some",4
10912,"Most of the time","Most of the time","Some",2.333333333333
10916,"Some of the time","All of the time","Some",3.666666666667
10917,"Some of the time","Most of the time","Some",2.666666666667
10919,"All of the time","Rarely","A little",2.833333333333
10921,"Some of the time","Some of the time","A lot",3.5
10931,"Most of the time","Some of the time","Some",3
10937,"Most of the time","Some of the time","Some",3.333333333333
10948,"Most of the time","Most of the time","Some",3.333333333333
10950,"Most of the time","All of the time","Some",4
10951,"All of the time","Most of the time","Some",3.833333333333
10953,"Most of the time","Most of the time","Some",2.666666666667
10956,"Most of the time","All of the time","Some",4.666666666667
10959,"Most of the time","Most of the time","Some",3.833333333333
10964,"Most of the time","Some of the time","Some",3
10965,"Most of the time","Most of the time","Some",3.333333333333
10967,"Most of the time","Most of the time","Some",4.5
10968,"Most of the time","Most of the time","Some",4
10974,"Most of the time","Most of the time","Some",4
10976,"All of the time","All of the time","A lot",5
10979,"Most of the time","Some of the time","A little",3.333333333333
10986,"Most of the time","Most of the time","Some",3.833333333333
10992,"Most of the time","Most of the time","Some",4
10995,"Most of the time","Most of the time","Some",3.833333333333
10999,"Most of the time","Most of the time","Some",3.833333333333
11000,"Most of the time","Some of the time","Some",2
11004,"Most of the time","Most of the time","Some",4
11013,"Most of the time","Some of the time","Some",2.5
11022,"Most of the time","Most of the time","A lot",4.166666666667
11034,"Some of the time","Some of the time","Some",3.333333333333
11041,"Most of the time","All of the time","Some",3.833333333333
11051,"Some of the time","Most of the time","A lot",3.5
11053,"Most of the time","Most of the time","Some",3
11061,"All of the time","Most of the time","A lot",4.333333333333
11063,"Some of the time","All of the time","Some",3.333333333333
11066,"Rarely","Most of the time","Some",4
11067,"Most of the time","Most of the time","A little",2.833333333333
11074,"All of the time","Most of the time","A lot",1.666666666667
11084,"Some of the time","Most of the time","Some",4.5
11086,"Some of the time","Most of the time","Some",3.833333333333
11087,"Most of the time","Most of the time","Some",2.333333333333
11092,"Most of the time","Some of the time","Some",3.666666666667
11093,"All of the time","Most of the time","A lot",4.166666666667
11095,"Most of the time","Most of the time","Some",3
11098,"Some of the time","Some of the time","Some",3.166666666667
11108,"Most of the time","Some of the time","Some",4
11110,"Most of the time","Most of the time","Some",3
11113,"Some of the time","All of the time","A little",3.166666666667
11115,"Some of the time","Most of the time","Some",3.5
11118,"Most of the time","Most of the time","Some",3
11129,"Most of the time","Most of the time","Some",2.666666666667
11132,"Some of the time","Most of the time","Some",2.833333333333
11145,"Most of the time","Some of the time","Some",3.166666666667
11147,"Most of the time","Most of the time","Some",3.666666666667
11149,"Some of the time","Most of the time","A little",2
11150,"Most of the time","All of the time","Some",4
11156,"Some of the time","Most of the time","Some",3.5
11158,"Most of the time","All of the time","Some",4.833333333333
11159,"Most of the time","All of the time","A little",3.833333333333
11161,"Most of the time","Most of the time","A lot",4.5
11174,"All of the time","All of the time","Some",3.833333333333
11177,"Most of the time","Most of the time","A little",3
11178,"Some of the time","Most of the time","Some",3.166666666667
11182,"All of the time","All of the time","A lot",1.833333333333
11184,"Most of the time","Most of the time","A lot",3.5
11185,"Rarely","Some of the time","Some",3.5
11190,"Some of the time","Most of the time","A lot",3.666666666667
11193,"Most of the time","Most of the time","Some",2.666666666667
11202,"Most of the time","Some of the time","Some",2.833333333333
11209,"Most of the time","Most of the time","A lot",3.166666666667
11219,"Most of the time","Most of the time","A lot",3.5
11223,"Most of the time","Some of the time","A lot",3.833333333333
11224,"Most of the time","Most of the time","Some",4
11229,"Some of the time","Most of the time","A little",2
11237,"Most of the time","Rarely","Some",3.666666666667
11250,"Most of the time","Some of the time","A little",2.5
11254,"Most of the time","All of the time","Some",3.833333333333
11255,"Most of the time","Most of the time","A lot",3.666666666667
11258,"Most of the time","Most of the time","Some",3.666666666667
11259,"Some of the time","Some of the time","Some",3
11260,"Most of the time","Some of the time","Some",3.666666666667
11267,"Some of the time","All of the time","Some",4.166666666667
11274,"Most of the time","All of the time","Some",2.833333333333
11287,"Most of the time","All of the time","Some",3.5
11295,"Most of the time","Most of the time","Some",3.833333333333
11302,"Most of the time","Most of the time","A lot",2
11304,"Most of the time","Most of the time","A little",4
11308,"Most of the time","Most of the time","Some",3.833333333333
11309,"All of the time","Most of the time","A lot",3.5
11315,"Most of the time","Most of the time","Some",3.333333333333
11317,"Most of the time","Most of the time","Some",4.166666666667
11331,"Some of the time","Most of the time","A little",3.833333333333
11338,"Some of the time","Most of the time","Some",3.333333333333
11340,"Some of the time","Some of the time","Some",2.666666666667
11342,"Some of the time","Some of the time","Some",4.333333333333
11343,"Most of the time","Most of the time","Some",4
11346,"Most of the time","Most of the time","Some",3.166666666667
11348,"All of the time","Rarely","Some",3.333333333333
11352,"Some of the time","Most of the time","Some",4
11354,"All of the time","Most of the time","A lot",3.166666666667
11355,"Most of the time","Most of the time","Some",3.833333333333
11365,"Most of the time","Most of the time","A lot",4
11366,"Some of the time","Some of the time","A lot",3.666666666667
11370,"Most of the time","Most of the time","A lot",4.333333333333
11381,"Some of the time","Some of the time","A little",2.666666666667
11385,"Most of the time","Most of the time","Some",3
11386,"Some of the time","Most of the time","Some",3.5
11398,"Most of the time","Most of the time","Some",4
11404,"Most of the time","Most of the time","Some",3.166666666667
11407,"Rarely","Most of the time","Some",1.333333333333
11409,"Some of the time","Most of the time","Some",3.333333333333
11411,"Most of the time","Some of the time","Some",4.333333333333
11416,"Most of the time","Some of the time","Some",3.833333333333
11418,"Most of the time","Most of the time","A little",4
11420,"Most of the time","Some of the time","A lot",3.833333333333
11421,"Most of the time","Most of the time","Some",3.666666666667
11429,"Most of the time","Some of the time","Some",2.166666666667
11435,"Some of the time","Most of the time","A lot",4.833333333333
11438,"Most of the time","Most of the time","Some",4
11439,"Most of the time","Most of the time","A lot",4
11441,"Most of the time","Most of the time","Some",3
11445,"Most of the time","Rarely","Some",2.833333333333
11448,"Most of the time","Most of the time","Some",3.5
11454,"Some of the time","Most of the time","Some",3.166666666667
11463,"Some of the time","Most of the time","Some",2.833333333333
11465,"All of the time","Most of the time","A lot",4.333333333333
11470,"Most of the time","Most of the time","Some",2.5
11476,"Most of the time","Some of the time","Some",4
11481,"Most of the time","Most of the time","Some",3.333333333333
11483,"Most of the time","Most of the time","Some",4
11490,"Some of the time","Some of the time","Some",3.666666666667
11491,"Most of the time","Rarely","A lot",3.666666666667
11493,"All of the time","Most of the time","Some",3.333333333333
11511,"Some of the time","All of the time","A lot",3.333333333333
11512,"Most of the time","Most of the time","Some",3.166666666667
11514,"Most of the time","Most of the time","A lot",3.166666666667
11516,"Some of the time","Some of the time","Some",2.333333333333
11517,"Most of the time","Most of the time","Some",2.666666666667
11518,"Some of the time","Most of the time","Some",2.666666666667
11523,"Rarely","Rarely","Some",3
11529,"Some of the time","All of the time","Some",3.833333333333
11530,"Most of the time","Some of the time","A lot",4
11536,"All of the time","Most of the time","Some",2.833333333333
11537,"Most of the time","Most of the time","Some",3.666666666667
11543,"Most of the time","All of the time","Some",3.333333333333
11544,"Some of the time","Rarely","Some",2
11546,"Most of the time","Most of the time","A lot",3.833333333333
11548,"Most of the time","All of the time","A lot",4
11553,"Most of the time","Most of the time","Some",3
11554,"Most of the time","Most of the time","Some",2.333333333333
11555,"All of the time","Some of the time","Some",4.666666666667
11556,"Some of the time","Most of the time","A lot",4.166666666667
11557,"Some of the time","Most of the time","Some",3.166666666667
11568,"Some of the time","Some of the time","Some",4.166666666667
11576,"Some of the time","All of the time","Some",3
11580,"Most of the time","Most of the time","Some",2.333333333333
11581,"Most of the time","Some of the time","Some",3.666666666667
11584,"Most of the time","All of the time","Some",2.333333333333
11585,"All of the time","All of the time","A lot",4.5
11589,"Some of the time","All of the time","A lot",3.833333333333
11593,"Some of the time","Most of the time","Some",2.666666666667
11600,"All of the time","All of the time","Some",1.833333333333
11602,"All of the time","Most of the time","A lot",4
11610,"All of the time","Most of the time","Some",2.5
11614,"Most of the time","All of the time","A lot",3.833333333333
11619,"All of the time","Some of the time","Some",4
11620,"All of the time","All of the time","A lot",3.8
11623,"Some of the time","Some of the time","Some",3.666666666667
11634,"All of the time","All of the time","A lot",4
11637,"Most of the time","Most of the time","A little",3.833333333333
11638,"Some of the time","Most of the time","Some",2.666666666667
11645,"Most of the time","All of the time","A lot",3.833333333333
11646,"All of the time","Most of the time","A lot",3.166666666667
11647,"Most of the time","Most of the time","Some",4
11649,"Some of the time","All of the time","A lot",3.833333333333
11652,"Most of the time","Some of the time","Some",3.833333333333
11657,"Some of the time","Most of the time","Some",3.666666666667
11658,"Most of the time","Most of the time","Some",3.833333333333
11663,"All of the time","Most of the time","A lot",4.166666666667
11665,"Most of the time","Some of the time","A lot",4.166666666667
11667,"All of the time","Some of the time","A lot",3.666666666667
11668,"Rarely","Some of the time","A little",3.666666666667
11673,"Most of the time","Some of the time","Some",3.5
11677,"Most of the time","Most of the time","Some",3
11685,"Most of the time","All of the time","A lot",4
11696,"Most of the time","Some of the time","Some",2.666666666667
11699,"Most of the time","Most of the time","Some",3.833333333333
11711,"Most of the time","All of the time","Some",3.5
11716,"All of the time","All of the time","A lot",4
11717,"Most of the time","All of the time","Some",5
11724,"Most of the time","Most of the time","A little",3.666666666667
11725,"Some of the time","Most of the time","A lot",4
11729,"Most of the time","All of the time","Some",2.666666666667
11731,"Most of the time","Most of the time","Some",2.833333333333
11734,"Some of the time","Some of the time","A lot",3.166666666667
11735,"All of the time","Most of the time","A lot",3
11737,"Most of the time","Most of the time","Some",4.166666666667
11742,"Most of the time","Most of the time","Some",1.833333333333
11743,"Most of the time","Most of the time","A lot",3
11747,"All of the time","Some of the time","Some",3.666666666667
11752,"All of the time","Most of the time","A lot",3
11764,"Most of the time","Some of the time","Some",3.166666666667
11768,"Most of the time","All of the time","Some",3.666666666667
11769,"Rarely","Some of the time","Some",3.333333333333
11770,"Most of the time","All of the time","A lot",3.666666666667
11777,"All of the time","Most of the time","Some",3.5
11779,"All of the time","All of the time","A lot",3.833333333333
11782,"Most of the time","Most of the time","Some",3.833333333333
11783,"Some of the time","Most of the time","A lot",4
11784,"Some of the time","All of the time","Some",3.666666666667
11787,"Most of the time","Most of the time","Some",3.833333333333
11788,"Some of the time","Most of the time","Some",3.5
11795,"All of the time","Most of the time","Some",3.833333333333
11798,"Most of the time","Most of the time","Some",2.833333333333
11799,"Rarely","Some of the time","Some",3.5
11801,"Most of the time","Some of the time","Some",3.166666666667
11802,"Most of the time","Most of the time","Some",1.833333333333
11803,"Most of the time","Most of the time","Some",3
11809,"Most of the time","Most of the time","A lot",3.5
11812,"All of the time","Never","Some",4
11817,"All of the time","Most of the time","A lot",3.5
11821,"Some of the time","Some of the time","Some",4
11825,"Some of the time","Most of the time","Some",4.166666666667
11827,"Most of the time","Most of the time","A little",3
11828,"All of the time","Most of the time","A lot",3
11829,"Never","Some of the time","Some",2.666666666667
11831,"Most of the time","Most of the time","A lot",3.833333333333
11833,"Some of the time","Some of the time","Some",4
11836,"Some of the time","Some of the time","Some",3.833333333333
11837,"Most of the time","Most of the time","Some",3.333333333333
11838,"Most of the time","Most of the time","A lot",3.833333333333
11840,"Some of the time","Most of the time","Some",4
11855,"Most of the time","All of the time","A lot",3.333333333333
11860,"Most of the time","Some of the time","Some",3
11871,"Most of the time","Some of the time","A lot",2.333333333333
11874,"Rarely","Rarely","Some",1.666666666667
11876,"Most of the time","Most of the time","A lot",4
11877,"Most of the time","Rarely","Some",3
11884,"Some of the time","Some of the time","Some",2.333333333333
11887,"Some of the time","Most of the time","Some",2.833333333333
11889,"Most of the time","All of the time","A lot",4
11890,"Some of the time","Most of the time","Some",3.333333333333
11891,"Most of the time","Most of the time","A lot",3.5
11893,"Most of the time","Some of the time","Some",3.666666666667
11903,"Some of the time","Most of the time","A lot",3.833333333333
11906,"Most of the time","All of the time","A lot",4.333333333333
11910,"Most of the time","Most of the time","A lot",2
11912,"Some of the time","Most of the time","A lot",3.833333333333
11919,"All of the time","Some of the time","A lot",4
11920,"Some of the time","Most of the time","Some",3.666666666667
11927,"All of the time","All of the time","A lot",4.166666666667
11928,"Most of the time","Most of the time","Some",4
11930,"Some of the time","Most of the time","A lot",3.166666666667
11933,"Most of the time","Most of the time","Some",3.666666666667
11934,"Some of the time","Most of the time","Some",3.666666666667
11935,"Most of the time","Most of the time","A lot",3.333333333333
11936,"Most of the time","Most of the time","A lot",3.166666666667
11942,"Rarely","Some of the time","Some",3.166666666667
11945,"Most of the time","Most of the time","Some",4
11957,"Most of the time","Most of the time","Some",3.5
11961,"Some of the time","Some of the time","A lot",4
11962,"Most of the time","Most of the time","Some",4
11969,"Some of the time","Most of the time","A little",2.666666666667
11971,"All of the time","All of the time","A lot",3.5
11975,"Some of the time","Some of the time","A lot",3.2
11978,"Most of the time","Most of the time","Some",3.333333333333
11982,"All of the time","Most of the time","Some",3.5
11983,"Some of the time","Most of the time","Some",2.833333333333
11984,"Some of the time","Some of the time","Some",2.166666666667
11988,"Most of the time","All of the time","Some",2.833333333333
11991,"Some of the time","All of the time","Some",3.333333333333
11992,"Most of the time","Some of the time","Some",3.5
11998,"Some of the time","Most of the time","Some",2.5
12003,"Most of the time","All of the time","A lot",4
12007,"Rarely","Most of the time","Some",2.5
12008,"Most of the time","Some of the time","Some",1.833333333333
12009,"Most of the time","Most of the time","A lot",4
12014,"Some of the time","Most of the time","A little",3.333333333333
12019,"Never","Some of the time","A little",4
12022,"Most of the time","All of the time","Some",3.333333333333
12023,"All of the time","Most of the time","A lot",3.833333333333
12027,"Most of the time","Most of the time","A lot",3.333333333333
12031,"Most of the time","Most of the time","Some",1.833333333333
12032,"Most of the time","All of the time","Some",3.833333333333
12037,"Most of the time","All of the time","A lot",4.5
12044,"Some of the time","Most of the time","A lot",3.666666666667
12054,"Most of the time","Some of the time","Some",2.666666666667
12056,"Some of the time","All of the time","A lot",3.666666666667
12057,"All of the time","Rarely","Some",4.166666666667
12064,"Most of the time","All of the time","Some",3.5
12069,"All of the time","Some of the time","Some",3
12074,"Most of the time","Most of the time","A little",3.5
12075,"All of the time","Most of the time","Some",3.833333333333
12076,"Most of the time","Some of the time","Some",3.333333333333
12085,"Most of the time","Most of the time","A lot",3.833333333333
12088,"Some of the time","Some of the time","A lot",4.166666666667
12091,"Most of the time","Some of the time","A lot",2.5
12097,"All of the time","All of the time","Some",1.333333333333
12098,"All of the time","Most of the time","Some",1.833333333333
12099,"Rarely","Some of the time","Some",3.666666666667
12103,"Some of the time","Some of the time","Some",2.666666666667
12104,"Most of the time","Most of the time","Some",3.166666666667
12114,"Most of the time","Some of the time","Some",3.666666666667
12118,"Most of the time","Rarely","A lot",3.833333333333
12123,"Most of the time","All of the time","A lot",2.333333333333
12128,"Most of the time","All of the time","A lot",3
12129,"All of the time","All of the time","A little",3.166666666667
12135,"Some of the time","All of the time","Some",3.833333333333
12140,"Most of the time","All of the time","Some",3
12147,"Most of the time","Most of the time","Some",3.666666666667
12150,"Some of the time","Most of the time","Some",3
12152,"All of the time","Most of the time","Some",3.666666666667
12157,"Most of the time","All of the time","Some",3.666666666667
12158,"Most of the time","Some of the time","Some",2.333333333333
12161,"Most of the time","Most of the time","A little",2.666666666667
12163,"Most of the time","Most of the time","Some",2.833333333333
12166,"Some of the time","Most of the time","A lot",3.666666666667
12176,"All of the time","All of the time","A lot",3.333333333333
12185,"Most of the time","Most of the time","A lot",4.166666666667
12188,"Most of the time","Some of the time","Some",4
12193,"Most of the time","All of the time","A lot",4
12196,"Most of the time","Most of the time","Some",4.166666666667
12197,"Some of the time","All of the time","Some",4
12199,"All of the time","Most of the time","A lot",3.5
12203,"Some of the time","Some of the time","A little",2.666666666667
12204,"Some of the time","Most of the time","Some",2.833333333333
12206,"Some of the time","Most of the time","A little",4
12207,"Most of the time","Most of the time","A lot",4
12216,"Most of the time","Some of the time","Some",3.166666666667
12218,"Most of the time","Some of the time","Some",3.333333333333
12222,"All of the time","All of the time","Some",3.333333333333
12223,"All of the time","Most of the time","A lot",3.833333333333
12227,"Rarely","Some of the time","Some",3.333333333333
12230,"Most of the time","Most of the time","A lot",4
12231,"All of the time","Most of the time","Some",4
12233,"Most of the time","Some of the time","A little",3.833333333333
